Date,Away,Home,Probability,Prediciton
11/13/2015,Air Force *,Southern Illinois,3.90%,Expected
11/13/2015,Alabama-Birmingham *,Auburn,4.40%,Expected
11/13/2015,Alabama A&M *,Tulane,5.70%,Expected
11/13/2015,Albany (NY) *,Kentucky,1.00%,Expected
11/13/2015,Allen *,Mercer,0.20%,Expected
11/13/2015,American *,Rhode Island,0.30%,Expected
11/13/2015,Arkansas-Pine Bluff *,Seattle,6.40%,Expected
11/13/2015,Arkansas State *,Southern Illinois-Edwardsville,1.60%,Expected
11/13/2015,Auburn Montgomery *,South Alabama,0.40%,Expected
11/13/2015,Austin College *,Lamar,0.00%,Expected
11/13/2015,Austin Peay *,Vanderbilt,0.00%,Expected
11/13/2015,Ball State *,Bradley,4.40%,Expected
11/13/2015,Belmont *,Marquette,7.20%,Expected
11/13/2015,Binghamton *,St. Bonaventure,1.50%,Expected
11/13/2015,Boise State *,Montana,3.90%,Expected
11/13/2015,Brown *,Saint Peter's,1.10%,Expected
11/13/2015,Cal Poly *,Nevada-Las Vegas,3.90%,Expected
11/13/2015,Cal State Fullerton *,Loyola Marymount,2.70%,Expected
11/13/2015,Cal State Northridge *,Northern Illinois,1.10%,Expected
11/13/2015,Canisius *,Hofstra,1.30%,Expected
11/13/2015,Chadron State *,South Dakota State,0.10%,Expected
11/13/2015,Charleston Southern *,Wichita State,0.20%,Expected
11/13/2015,Chattanooga *,Georgia,6.40%,Expected
11/13/2015,Cincinnati Christian *,Morehead State,0.10%,Expected
11/13/2015,Colgate *,George Mason,21.70%,Expected
11/13/2015,Colorado *,Iowa State,3.90%,Expected
11/13/2015,Coppin State *,Eastern Kentucky,0.20%,Expected
11/13/2015,Cornell *,Georgia Tech,0.10%,Expected
11/13/2015,Covenant *,Liberty,3.90%,Expected
11/13/2015,Dartmouth *,Seton Hall,0.60%,Expected
11/13/2015,Delaware *,Delaware State,10.20%,Expected
11/13/2015,Drexel *,Saint Joseph's,4.40%,Expected
11/13/2015,Eastern Illinois *,Indiana,0.00%,Expected
11/13/2015,Eastern Washington *,Mississippi State,0.50%,Expected
11/13/2015,Elon *,Charlotte,17.60%,Expected
11/13/2015,Fairfield *,Yale,1.60%,Expected
11/13/2015,Fairleigh Dickinson *,Villanova,0.00%,Expected
11/13/2015,Ferrum *,Army,0.00%,Expected
11/13/2015,Florida *,Navy,34.30%,Expected
11/13/2015,Florida Atlantic *,Michigan State,0.20%,Expected
11/13/2015,Gardner-Webb *,Iowa,0.60%,Expected
11/13/2015,Grambling *,East Carolina,1.90%,Expected
11/13/2015,Great Falls *,Idaho State,2.40%,Expected
11/13/2015,Green Bay *,Stanford,3.10%,Expected
11/13/2015,Harris-Stowe *,Murray State,0.00%,Expected
11/13/2015,Hartford *,Central Connecticut State,14.20%,Expected
11/13/2015,High Point *,Texas Tech,3.10%,Expected
11/13/2015,Holy Cross *,Marist,7.20%,Expected
11/13/2015,Houston Baptist *,New Mexico State,0.30%,Expected
11/13/2015,Illinois State *,San Diego State,1.30%,Expected
11/13/2015,Illinois Tech *,Chicago State,0.00%,Expected
11/13/2015,IPFW *,Valparaiso,0.90%,Expected
11/13/2015,IUPUI *,Indiana State,6.40%,Expected
11/13/2015,Jackson State *,Oregon,0.10%,Expected
11/13/2015,Jacksonville State *,Central Michigan,2.40%,Expected
11/13/2015,James Madison *,Richmond,19.60%,Expected
11/13/2015,Jarvis Christian *,North Texas,0.10%,Expected
11/13/2015,Kean *,Columbia,0.00%,Expected
11/13/2015,Kennesaw State *,Alabama,1.00%,Expected
11/13/2015,Lafayette *,George Washington,1.60%,Expected
11/13/2015,Lehigh *,Syracuse,1.50%,Expected
11/13/2015,Lipscomb *,Santa Clara,6.40%,Expected
11/13/2015,Louisiana College *,Louisiana-Lafayette,0.00%,Expected
11/13/2015,Lyndon State *,New Hampshire,0.00%,Expected
11/13/2015,Maine *,Connecticut,0.00%,Expected
11/13/2015,Maryland-Baltimore County *,Wake Forest,2.70%,Expected
11/13/2015,Maryland-Eastern Shore *,Kansas State,0.20%,Expected
11/13/2015,Massachusetts-Lowell *,Northwestern,0.30%,Expected
11/13/2015,Massachusetts Institute of Technology *,Harvard,0.40%,Expected
11/13/2015,McMurry *,Louisiana-Monroe,0.00%,Expected
11/13/2015,McNeese State *,Louisiana State,1.30%,Expected
11/13/2015,Miami (OH) *,Xavier,1.60%,Expected
11/13/2015,Middle Georgia State *,Georgia State,0.50%,Expected
11/13/2015,Milligan *,North Carolina-Wilmington,0.00%,Expected
11/13/2015,Millsaps *,Louisiana Tech,0.00%,Expected
11/13/2015,Milwaukee *,Denver,31.40%,Expected
11/13/2015,Minnesota-Morris *,North Dakota,0.10%,Expected
11/13/2015,Missouri-Kansas City *,Minnesota,0.50%,Expected
11/13/2015,Missouri State *,Oral Roberts,0.80%,Expected
11/13/2015,Monmouth *,UCLA,7.20%,Expected
11/13/2015,Montana State *,Hawaii,1.30%,Expected
11/13/2015,Montreat *,Campbell,0.00%,Expected
11/13/2015,Morgan State *,Virginia,0.00%,Expected
11/13/2015,Mount St. Mary's *,Maryland,0.20%,Expected
11/13/2015,Nevada *,Coastal Carolina,43.20%,Upset
11/13/2015,Niagara *,Old Dominion,1.00%,Expected
11/13/2015,North Carolina *,Temple,65.00%,Upset
11/13/2015,North Carolina A&T *,Purdue,0.00%,Expected
11/13/2015,North Carolina Central *,Clemson,0.10%,Expected
11/13/2015,North Florida *,Illinois,19.60%,Expected
11/13/2015,Northeastern *,Boston University,7.20%,Expected
11/13/2015,Northern Arizona *,Washington State,1.10%,Expected
11/13/2015,Northern Colorado *,Kansas,0.00%,Expected
11/13/2015,Northern Kentucky *,West Virginia,0.00%,Expected
11/13/2015,Northern Michigan *,Michigan,0.20%,Expected
11/13/2015,Northwestern State *,Mississippi,0.90%,Expected
11/13/2015,Oregon Tech *,Portland,0.60%,Expected
11/13/2015,Our Lady of the Lake *,Texas A&M-Corpus Christi,0.30%,Expected
11/13/2015,Pacific *,Arizona,0.50%,Expected
11/13/2015,Pepperdine *,Fresno State,3.50%,Expected
11/13/2015,Pittsburgh-Bradford *,Buffalo,0.00%,Expected
11/13/2015,Portland State *,Grand Canyon,1.50%,Expected
11/13/2015,Prairie View *,Virginia Commonwealth,0.20%,Expected
11/13/2015,Presbyterian *,Furman,1.50%,Expected
11/13/2015,Princeton *,Rider,12.80%,Expected
11/13/2015,Quinnipiac *,Sacred Heart,1.90%,Expected
11/13/2015,Randolph *,Longwood,0.40%,Expected
11/13/2015,Robert Morris *,Pennsylvania,4.40%,Expected
11/13/2015,Rutgers-Newark *,Rutgers,1.00%,Expected
11/13/2015,Sacramento State *,Arizona State,7.20%,Expected
11/13/2015,Saint Francis (PA) *,Notre Dame,0.10%,Expected
11/13/2015,Samford *,Louisville,0.00%,Expected
11/13/2015,San Diego *,Southern California,0.00%,Expected
11/13/2015,San Diego *,UC-Irvine,0.00%,Expected
11/13/2015,San Francisco *,Illinois-Chicago,7.20%,Expected
11/13/2015,San Francisco State *,Saint Mary's (CA),0.20%,Expected
11/13/2015,Seton Hill *,Duquesne,0.20%,Expected
11/13/2015,Shenandoah *,Bucknell,0.00%,Expected
11/13/2015,Siena *,Duke,0.50%,Expected
11/13/2015,Simpson *,Drake,0.00%,Expected
11/13/2015,South Carolina State *,College of Charleston,0.40%,Expected
11/13/2015,South Carolina Upstate *,Texas A&M,0.00%,Expected
11/13/2015,South Dakota *,Wright State,3.10%,Expected
11/13/2015,Southeast Missouri State *,Dayton,0.10%,Expected
11/13/2015,Southeastern Louisiana *,Texas Christian,1.00%,Expected
11/13/2015,Southern *,Arkansas,0.50%,Expected
11/13/2015,Southern Utah *,Utah,1.30%,Expected
11/13/2015,Stephen F. Austin *,Baylor,0.00%,Expected
11/13/2015,Tennessee-Martin *,Oklahoma State,0.10%,Expected
11/13/2015,Tennessee State *,Loyola (MD),26.30%,Expected
11/13/2015,Texas *,Washington,3.90%,Expected
11/13/2015,Texas-Rio Grande Valley *,Miami (FL),0.20%,Expected
11/13/2015,Texas-San Antonio *,Loyola (IL),2.40%,Expected
11/13/2015,Texas Lutheran *,Incarnate Word,0.40%,Expected
11/13/2015,Texas Southern *,New Mexico,0.10%,Expected
11/13/2015,Trinity Baptist *,Florida International,0.10%,Expected
11/13/2015,Troy *,South Florida,9.10%,Expected
11/13/2015,University of the Southwest *,Abilene Christian,0.10%,Expected
11/13/2015,Utah State *,Weber State,7.20%,Expected
11/13/2015,Utah Valley *,Brigham Young,0.10%,Expected
11/13/2015,Vermont *,Eastern Michigan,0.40%,Expected
11/13/2015,Wagner *,St. John's (NY),1.60%,Expected
11/13/2015,Webber *,Georgia Southern,0.00%,Expected
11/13/2015,Western Carolina *,Cincinnati,0.20%,Expected
11/13/2015,Western Illinois *,Wisconsin,6.40%,Expected
11/13/2015,William & Mary *,North Carolina State,31.50%,Expected
11/13/2015,Wofford *,Missouri,1.60%,Expected
11/14/2015,Alabama State *,Virginia Tech,7.20%,Expected
11/14/2015,Averett *,East Tennessee State,0.00%,Expected
11/14/2015,Brigham Young-Hawaii *,Long Beach State,0.10%,Expected
11/14/2015,Bryant,Duke *,1.00%,Expected
11/14/2015,Cal State Northridge,Wright State *,89.60%,Upset
11/14/2015,Campbellsville *,Western Kentucky,0.40%,Expected
11/14/2015,Central Arkansas *,Tulsa,0.60%,Expected
11/14/2015,Central Baptist *,Arkansas-Little Rock,0.50%,Expected
11/14/2015,Central Florida *,Davidson,2.70%,Expected
11/14/2015,Citadel *,Butler,0.00%,Expected
11/14/2015,Cleveland State *,Akron,1.90%,Expected
11/14/2015,Colorado State *,Northern Iowa,10.20%,Expected
11/14/2015,Denver,Santa Clara *,72.00%,Upset
11/14/2015,Eureka,Loyola (IL) *,1.60%,Expected
11/14/2015,Florida Gulf Coast *,Ohio,1.50%,Expected
11/14/2015,Fordham *,Texas-Arlington,2.70%,Expected
11/14/2015,Grambling,Mid-Atlantic Christian *,99.30%,Upset
11/14/2015,Great Falls *,Utah Valley,0.10%,Expected
11/14/2015,Greensboro *,North Carolina-Greensboro,0.60%,Expected
11/14/2015,Hampton *,Winthrop,2.10%,Expected
11/14/2015,Harvard *,Providence,0.00%,Expected
11/14/2015,Hawaii-Hilo *,Montana State,2.00%,Expected
11/14/2015,Howard *,Massachusetts,2.40%,Expected
11/14/2015,Idaho *,San Jose State,40.30%,Upset
11/14/2015,Jacksonville *,Appalachian State,1.90%,Expected
11/14/2015,Loyola (LA) *,Texas-El Paso,0.00%,Expected
11/14/2015,Merchant Marine Academy *,Stony Brook,0.00%,Expected
11/14/2015,Milwaukee *,Lipscomb,19.70%,Expected
11/14/2015,Mississippi Valley State *,Nebraska,0.00%,Expected
11/14/2015,New Orleans *,Bowling Green State,0.50%,Expected
11/14/2015,NJIT,Kentucky *,2.80%,Expected
11/14/2015,Norfolk State *,South Carolina,0.80%,Expected
11/14/2015,Northwest Christian *,Oregon State,0.30%,Expected
11/14/2015,Piedmont *,Tennessee Tech,0.00%,Expected
11/14/2015,Radford *,Georgetown,6.40%,Expected
11/14/2015,Sam Houston State *,Southern Methodist,0.10%,Expected
11/14/2015,San Diego Christian *,Cal State Bakersfield,0.20%,Expected
11/14/2015,South Dakota,Northern Illinois *,50.50%,Upset
11/14/2015,Southern Mississippi *,Memphis,0.50%,Expected
11/14/2015,St. Francis (NY) *,Boston College,0.20%,Expected
11/14/2015,Texas Southern,Creighton *,1.40%,Expected
11/14/2015,Towson *,La Salle,3.90%,Expected
11/14/2015,Virginia Military Institute *,Penn State,1.10%,Expected
11/14/2015,West Virginia Tech *,Toledo,0.10%,Expected
11/14/2015,Western Michigan *,DePaul,2.40%,Expected
11/14/2015,Youngstown State *,Kent State,1.60%,Expected
11/15/2015,Army *,Binghamton,0.40%,Expected
11/15/2015,Cal Poly *,UCLA,4.60%,Expected
11/15/2015,Cal State Northridge *,South Dakota,1.00%,Expected
11/15/2015,Central Connecticut State,Pennsylvania *,16.40%,Expected
11/15/2015,Charleston Southern,Stanford *,6.10%,Expected
11/15/2015,Coastal Carolina,Hawaii *,47.30%,Upset
11/15/2015,Coppin State,Iowa *,6.00%,Expected
11/15/2015,Denver *,Lipscomb,26.20%,Expected
11/15/2015,Fairfield,North Carolina *,23.30%,Expected
11/15/2015,Florida A&M *,Southern Illinois,0.00%,Expected
11/15/2015,Fort Valley State *,Jacksonville State,0.40%,Expected
11/15/2015,George Fox *,Eastern Washington,0.00%,Expected
11/15/2015,Hannibal-LaGrange,Western Illinois *,1.60%,Expected
11/15/2015,Hartford *,Saint Louis,0.00%,Expected
11/15/2015,Howard,Rutgers *,35.20%,Expected
11/15/2015,Iona,Valparaiso *,4.60%,Expected
11/15/2015,Louisiana-Monroe *,Minnesota,0.40%,Expected
11/15/2015,Maryland-Eastern Shore,Missouri *,32.70%,Expected
11/15/2015,Milwaukee *,Santa Clara,0.10%,Expected
11/15/2015,Montana State,Nevada *,8.80%,Expected
11/15/2015,Mount St. Mary's,Ohio State *,1.20%,Expected
11/15/2015,New Mexico *,New Mexico State,13.00%,Expected
11/15/2015,Niagara,Saint Joseph's *,29.30%,Expected
11/15/2015,Nicholls State *,Florida State,0.00%,Expected
11/15/2015,North Carolina Wesleyan *,High Point,0.20%,Expected
11/15/2015,North Dakota State *,Illinois,1.10%,Expected
11/15/2015,Reinhardt,Troy *,16.90%,Expected
11/15/2015,Robert Morris,Cincinnati *,0.10%,Expected
11/15/2015,Sacramento State *,Seattle,0.90%,Expected
11/15/2015,Saint Mary's (MN) *,Nebraska-Omaha,0.00%,Expected
11/15/2015,Saint Peter's *,Lafayette,0.10%,Expected
11/15/2015,Siena,Wisconsin *,0.20%,Expected
11/15/2015,South Alabama *,North Carolina State,0.00%,Expected
11/15/2015,Southeast Missouri State,Evansville *,2.80%,Expected
11/15/2015,Stetson *,Richmond,0.10%,Expected
11/15/2015,Texas-San Antonio,Clemson *,9.50%,Expected
11/15/2015,Vermont,Purdue *,21.20%,Expected
11/15/2015,Wagner,Seton Hall *,46.00%,Upset
11/15/2015,Wake Forest,Bucknell *,36.00%,Expected
11/15/2015,William Jewell *,Missouri-Kansas City,0.50%,Expected
11/15/2015,Wright State,Northern Illinois *,14.10%,Expected
11/16/2015,Alabama State *,Alabama-Birmingham,0.20%,Expected
11/16/2015,Albany (NY),Boston University *,6.10%,Expected
11/16/2015,Allen *,North Carolina Central,0.20%,Expected
11/16/2015,Arkansas-Pine Bluff,Oklahoma State *,1.90%,Expected
11/16/2015,Auburn Montgomery *,Samford,0.40%,Expected
11/16/2015,Austin Peay,Indiana *,40.20%,Upset
11/16/2015,Baylor *,Oregon,1.00%,Expected
11/16/2015,Belmont *,Arizona State,0.00%,Expected
11/16/2015,Bethune-Cookman *,Tennessee-Martin,0.00%,Expected
11/16/2015,Bradley,Arizona *,0.20%,Expected
11/16/2015,Brigham Young,Long Beach State *,2.90%,Expected
11/16/2015,Buffalo *,Old Dominion,0.10%,Expected
11/16/2015,Campbell *,Savannah State,1.40%,Expected
11/16/2015,Central State (OH) *,Detroit Mercy,0.30%,Expected
11/16/2015,Charlotte,East Carolina *,26.20%,Expected
11/16/2015,Chicago State *,Iowa State,0.00%,Expected
11/16/2015,College of Charleston *,Navy,0.30%,Expected
11/16/2015,Columbia *,Kansas State,0.60%,Expected
11/16/2015,Cornell,Colgate *,95.10%,Upset
11/16/2015,Crowley's Ridge *,Houston Baptist,0.00%,Expected
11/16/2015,Dickinson State (ND),Idaho State *,4.70%,Expected
11/16/2015,Drake *,Tulane,0.00%,Expected
11/16/2015,Eastern Illinois,Ball State *,4.10%,Expected
11/16/2015,Eastern Kentucky,North Carolina-Wilmington *,0.60%,Expected
11/16/2015,Elon *,Michigan,0.70%,Expected
11/16/2015,Fairleigh Dickinson-Florham *,Fairleigh Dickinson,0.00%,Expected
11/16/2015,Florida Memorial,Florida International *,28.60%,Expected
11/16/2015,Gardner-Webb,Vanderbilt *,11.40%,Expected
11/16/2015,George Mason,Mercer *,58.10%,Upset
11/16/2015,Georgia Southern *,Mississippi,0.20%,Expected
11/16/2015,Hiram,Akron *,0.00%,Expected
11/16/2015,Hiwassee,Chattanooga *,0.60%,Expected
11/16/2015,Holy Cross *,Brown,0.00%,Expected
11/16/2015,IUPUI *,Marquette,0.10%,Expected
11/16/2015,James Madison,West Virginia *,2.80%,Expected
11/16/2015,Kennesaw State,Louisiana State *,17.20%,Expected
11/16/2015,La Roche,Longwood *,10.60%,Expected
11/16/2015,Lamar *,Fresno State,0.50%,Expected
11/16/2015,Lehigh *,Canisius,1.30%,Expected
11/16/2015,Long Island University *,Loyola (MD),2.20%,Expected
11/16/2015,Louisiana-Lafayette *,Miami (FL),0.70%,Expected
11/16/2015,Louisiana State-Alexandria *,Northwestern State,2.40%,Expected
11/16/2015,Lyon *,Arkansas State,0.00%,Expected
11/16/2015,Manchester *,IPFW,0.00%,Expected
11/16/2015,Manhattan,Saint Mary's (CA) *,6.10%,Expected
11/16/2015,Maryland-Baltimore County,St. John's (NY) *,13.00%,Expected
11/16/2015,Molloy,Hofstra *,2.00%,Expected
11/16/2015,Monmouth,Southern California *,5.40%,Expected
11/16/2015,Montana *,San Jose State,0.10%,Expected
11/16/2015,Morehead State *,Illinois State,0.10%,Expected
11/16/2015,Morgan State,Towson *,9.80%,Expected
11/16/2015,Nevada *,Hawaii,2.90%,Expected
11/16/2015,New Mexico Highlands,Nevada-Las Vegas *,0.00%,Expected
11/16/2015,New Orleans,Duquesne *,22.20%,Expected
11/16/2015,NJIT,South Florida *,20.70%,Expected
11/16/2015,North Carolina A&T,Florida *,3.20%,Expected
11/16/2015,Northern Arizona,Boise State *,0.40%,Expected
11/16/2015,Oakwood,Jacksonville State *,0.20%,Expected
11/16/2015,Oral Roberts *,South Carolina,0.60%,Expected
11/16/2015,Pacific Lutheran *,Portland State,0.00%,Expected
11/16/2015,Radford,Virginia Commonwealth *,1.10%,Expected
11/16/2015,Rice,San Francisco *,4.50%,Expected
11/16/2015,Sacred Heart,Yale *,0.40%,Expected
11/16/2015,San Diego Christian,Pepperdine *,0.10%,Expected
11/16/2015,San Diego State *,Utah,2.50%,Expected
11/16/2015,Schreiner,Incarnate Word *,7.80%,Expected
11/16/2015,South Carolina Upstate,Presbyterian *,10.70%,Expected
11/16/2015,Southeastern Louisiana,Texas A&M *,4.50%,Expected
11/16/2015,Southern,Mississippi State *,85.10%,Upset
11/16/2015,Tennessee,Georgia Tech *,9.10%,Expected
11/16/2015,Tennessee State *,Ohio,1.00%,Expected
11/16/2015,Tennessee Tech *,Air Force,0.00%,Expected
11/16/2015,Texas-Rio Grande Valley,North Florida *,24.70%,Expected
11/16/2015,Texas-Tyler *,Texas State,0.10%,Expected
11/16/2015,Texas College,North Texas *,0.70%,Expected
11/16/2015,Texas Wesleyan *,Florida Gulf Coast,0.10%,Expected
11/16/2015,Virginia *,George Washington,0.60%,Expected
11/16/2015,Voorhees *,South Carolina State,0.00%,Expected
11/16/2015,Weber State,South Dakota State *,41.00%,Upset
11/16/2015,Wyoming *,Indiana State,0.00%,Expected
11/17/2015,Adams State,Utah State *,14.70%,Expected
11/17/2015,Alabama,Dayton *,0.20%,Expected
11/17/2015,Alma,Central Michigan *,10.70%,Expected
11/17/2015,Black Hills State,Grand Canyon *,10.80%,Expected
11/17/2015,Cal State Fullerton *,Pacific,2.70%,Expected
11/17/2015,Chowan,North Carolina-Greensboro *,6.50%,Expected
11/17/2015,Colorado,Auburn *,71.80%,Upset
11/17/2015,Colorado Christian *,Northern Colorado,0.10%,Expected
11/17/2015,Dartmouth,Marist *,1.90%,Expected
11/17/2015,DePaul,Penn State *,5.20%,Expected
11/17/2015,Furman *,Appalachian State,18.00%,Expected
11/17/2015,Georgetown,Maryland *,72.30%,Upset
11/17/2015,Grambling *,Ohio State,0.40%,Expected
11/17/2015,Green Bay,East Tennessee State *,40.60%,Upset
11/17/2015,Hampton *,American,8.80%,Expected
11/17/2015,Hartford,Louisville *,2.00%,Expected
11/17/2015,Howard Payne,Abilene Christian *,32.70%,Expected
11/17/2015,Idaho *,Cal State Bakersfield,0.20%,Expected
11/17/2015,Illinois-Chicago,Western Illinois *,9.30%,Expected
11/17/2015,Iona,Oregon State *,29.10%,Expected
11/17/2015,Jackson State,Southern Mississippi *,56.00%,Upset
11/17/2015,Jacksonville,Florida State *,37.80%,Expected
11/17/2015,Kansas *,Michigan State,3.80%,Expected
11/17/2015,Kentucky,Duke *,27.80%,Expected
11/17/2015,Kenyon *,Miami (OH),0.10%,Expected
11/17/2015,Louisiana College,McNeese State *,25.10%,Expected
11/17/2015,Malone *,Cleveland State,0.30%,Expected
11/17/2015,Marian,Evansville *,5.80%,Expected
11/17/2015,Massachusetts *,Harvard,4.70%,Expected
11/17/2015,Middle Tennessee,Murray State *,49.90%,Upset
11/17/2015,Milwaukee *,Notre Dame,3.40%,Expected
11/17/2015,Missouri *,Xavier,0.90%,Expected
11/17/2015,Missouri-Kansas City,Nebraska-Omaha *,5.40%,Expected
11/17/2015,Nebraska *,Villanova,0.20%,Expected
11/17/2015,New Hampshire,Connecticut *,0.30%,Expected
11/17/2015,North Dakota *,Wisconsin,0.10%,Expected
11/17/2015,Oakland City *,Lipscomb,0.30%,Expected
11/17/2015,Oklahoma,Memphis *,76.50%,Upset
11/17/2015,Pennsylvania *,Delaware State,0.40%,Expected
11/17/2015,Queens (NY) *,Fordham,0.30%,Expected
11/17/2015,Rider,La Salle *,17.30%,Expected
11/17/2015,Saint Joseph's (IN) *,Pittsburgh,0.00%,Expected
11/17/2015,San Diego,Western Michigan *,2.30%,Expected
11/17/2015,St. Bonaventure *,Syracuse,1.30%,Expected
11/17/2015,Stephen F. Austin,Northern Iowa *,5.00%,Expected
11/17/2015,Stetson *,Citadel,0.80%,Expected
11/17/2015,Texas-Arlington,Louisiana Tech *,8.40%,Expected
11/17/2015,Texas-San Antonio,Creighton *,19.80%,Expected
11/17/2015,Tiffin *,Northern Kentucky,0.20%,Expected
11/17/2015,Truett-McConnell,Winthrop *,2.50%,Expected
11/17/2015,Tusculum *,Virginia Military Institute,0.50%,Expected
11/17/2015,Valparaiso *,Rhode Island,10.00%,Expected
11/17/2015,Warner Southern *,Florida Atlantic,1.90%,Expected
11/17/2015,Washington Adventist *,Norfolk State,0.20%,Expected
11/17/2015,Wentworth,Northeastern *,2.10%,Expected
11/17/2015,Westminster *,Saint Francis (PA),0.00%,Expected
11/17/2015,Wichita State *,Tulsa,1.30%,Expected
11/17/2015,William & Mary *,Liberty,21.50%,Expected
11/18/2015,Akron *,Arkansas,5.60%,Expected
11/18/2015,Arkansas State,Savannah State *,10.20%,Expected
11/18/2015,Army *,Fairleigh Dickinson,1.40%,Expected
11/18/2015,Belmont Abbey,Elon *,0.50%,Expected
11/18/2015,Binghamton,Cornell *,2.90%,Expected
11/18/2015,Brown *,Niagara,0.10%,Expected
11/18/2015,Bucknell *,Robert Morris,0.30%,Expected
11/18/2015,Buffalo *,Saint Joseph's,0.60%,Expected
11/18/2015,Cal State Monterey Bay *,Cal Poly,1.00%,Expected
11/18/2015,Catawba *,Radford,5.10%,Expected
11/18/2015,Centenary (LA),Arkansas-Little Rock *,0.70%,Expected
11/18/2015,Cincinnati *,Bowling Green State,49.60%,Upset
11/18/2015,Eastern Michigan *,Oakland,0.00%,Expected
11/18/2015,Edward Waters,North Florida *,3.80%,Expected
11/18/2015,Emerson *,Bryant,0.20%,Expected
11/18/2015,Fairfield,Northwestern *,77.80%,Upset
11/18/2015,Fisk,Tennessee State *,1.50%,Expected
11/18/2015,Goldey-Beacom *,Coppin State,0.50%,Expected
11/18/2015,Grace Bible *,Coastal Carolina,0.00%,Expected
11/18/2015,High Point *,Drexel,1.40%,Expected
11/18/2015,Illinois,Providence *,28.90%,Expected
11/18/2015,Incarnate Word,Purdue *,0.10%,Expected
11/18/2015,Indiana-Kokomo,Valparaiso *,1.10%,Expected
11/18/2015,Indiana-Northwest,Chicago State *,0.20%,Expected
11/18/2015,IPFW *,Austin Peay,0.30%,Expected
11/18/2015,IUPUI *,North Carolina State,0.20%,Expected
11/18/2015,Jacksonville State *,Virginia Tech,0.10%,Expected
11/18/2015,Kennesaw State,Arizona State *,0.40%,Expected
11/18/2015,Kent State,Southern Illinois *,3.10%,Expected
11/18/2015,Loyola (IL),New Mexico *,0.20%,Expected
11/18/2015,Loyola (MD),Maryland-Baltimore County *,45.30%,Upset
11/18/2015,Mars Hill *,UNC-Asheville,0.00%,Expected
11/18/2015,Mississippi College *,Southeastern Louisiana,0.50%,Expected
11/18/2015,Morgan State,Old Dominion *,14.20%,Expected
11/18/2015,Northern Arizona,Gonzaga *,0.10%,Expected
11/18/2015,Prairie View,Houston *,0.10%,Expected
11/18/2015,Quinnipiac *,Vermont,0.30%,Expected
11/18/2015,Richmond,Wake Forest *,56.30%,Upset
11/18/2015,Roanoke *,North Carolina A&T,1.10%,Expected
11/18/2015,Sacred Heart *,Massachusetts-Lowell,0.50%,Expected
11/18/2015,Saint Louis *,Southern Illinois-Edwardsville,12.00%,Expected
11/18/2015,San Diego Christian,San Diego State *,31.50%,Expected
11/18/2015,Seattle,Eastern Washington *,23.50%,Expected
11/18/2015,Southern Utah,Nevada-Las Vegas *,30.60%,Expected
11/18/2015,Tennessee Tech *,New Mexico State,0.60%,Expected
11/18/2015,Toccoa Falls *,Presbyterian,0.10%,Expected
11/18/2015,Toledo *,Youngstown State,0.80%,Expected
11/18/2015,Utah Valley,Denver *,2.20%,Expected
11/18/2015,Valley City State *,North Dakota State,0.20%,Expected
11/18/2015,Vanguard *,Cal State Northridge,0.70%,Expected
11/18/2015,Western Kentucky *,Belmont,0.30%,Expected
11/18/2015,Wofford,North Carolina *,41.20%,Upset
11/19/2015,Alabama-Birmingham,Troy *,71.80%,Upset
11/19/2015,Alabama State,Mercer *,3.30%,Expected
11/19/2015,Alcorn State,Grand Canyon *,1.70%,Expected
11/19/2015,Antelope Valley *,Weber State,0.00%,Expected
11/19/2015,Boise State,Arizona *,11.30%,Expected
11/19/2015,Boston University *,NJIT,0.60%,Expected
11/19/2015,Butler *,Missouri State,2.40%,Expected
11/19/2015,Central Arkansas,Massachusetts *,6.20%,Expected
11/19/2015,Central Connecticut State,Boston College *,24.00%,Expected
11/19/2015,Colgate *,Albany (NY),0.00%,Expected
11/19/2015,Creighton,Indiana *,0.70%,Expected
11/19/2015,Delaware State,Nebraska *,9.00%,Expected
11/19/2015,Emmanuel,Georgia State *,12.70%,Expected
11/19/2015,Furman *,Charlotte,0.00%,Expected
11/19/2015,George Washington *,South Florida,0.30%,Expected
11/19/2015,Grambling *,Memphis,0.50%,Expected
11/19/2015,Green Bay,Georgia Tech *,6.50%,Expected
11/19/2015,Hartford,Saint Peter's *,23.00%,Expected
11/19/2015,Houston Baptist,Texas Christian *,0.90%,Expected
11/19/2015,Iowa *,Marquette,7.60%,Expected
11/19/2015,Long Beach State *,Seton Hall,8.40%,Expected
11/19/2015,Louisiana-Monroe *,Northwestern State,1.70%,Expected
11/19/2015,Loyola Marymount,Colorado State *,2.00%,Expected
11/19/2015,Maine,Long Island University *,76.60%,Upset
11/19/2015,Marshall,Tennessee *,5.50%,Expected
11/19/2015,Miami (FL) *,Mississippi State,21.30%,Expected
11/19/2015,Mid-Atlantic Christian,Citadel *,0.00%,Expected
11/19/2015,Mississippi *,George Mason,0.10%,Expected
11/19/2015,Mississippi Valley State,Air Force *,46.70%,Upset
11/19/2015,Mobile *,Nicholls State,0.00%,Expected
11/19/2015,Mount St. Mary's,Washington *,9.00%,Expected
11/19/2015,Navy,South Carolina Upstate *,27.00%,Expected
11/19/2015,New Hampshire *,Holy Cross,3.80%,Expected
11/19/2015,New Mexico Highlands,Wyoming *,31.80%,Expected
